#Gene_1	Gene_2	weight
aag1	casp6	1.00
aag1	casp9	1.00
aag1	dkfzp686n1815	1.00
aag1	eif1	1.00
aag1	eif2s2	1.00
aag1	eif3a	1.00
aag1	eif4g1	1.00
aag1	eif4g3	1.00
aag1	ptbp1	1.00
aag1	ptbp2	1.00
aamdc	bag3	0.59
aamdc	egfr	0.59
aamdc	ubc	0.59
aar2	prpf8	0.96
aars	cebpb	1.00
aars	dars	0.59
aars	eed	0.53
aars	farsb	0.59
aars	gars	0.59
aars	lars	0.59
aars	nars	0.59
aars	nsun2	0.59
aars	qars	0.59
aars	ubc	0.59
aars2	eed	0.53
aasdhppt	fasn	1.00
aasdhppt	plcg1	0.59
aasdhppt	ubc	0.59
aatf	atr	0.59
aatf	chek1	0.59
aatf	chek2	0.59
aatf	dapk3	0.59
aatf	e2f1	1.00
aatf	e2f2	1.00
aatf	e2f3	1.00
aatf	elf1	1.00
aatf	foxp3	0.53
aatf	hdac1	1.00
aatf	maged1	1.00
aatf	mapkapk2	0.59
aatf	mdm2	0.59
aatf	mms19	0.59
aatf	ngf	1.00
aatf	ngfr	1.00
aatf	pawr	0.59
aatf	rb1	1.00
aatf	rela	0.59
aatf	sp1	0.59
aatf	tfdp1	1.00
aatf	ubc	0.59
aatf	ubd	0.59
aatf	usf1	1.00
aatk	cdk5r1	0.59
abat	aldh5a1	0.59
abca1	abca12	0.99
abca1	abca13	0.53
abca1	abca2	0.53
abca1	abca4	0.53
abca1	abca7	0.53
abca1	aox1	0.59
abca1	apoa1	1.00
abca1	arhgef11	0.59
abca1	arhgef12	0.59
abca1	hgs	0.59
abca1	jun	1.00
abca1	nr1h2	0.99
abca1	nr1h3	0.53
abca1	rela	0.59
abca1	sdhb	0.59
abca1	sp3	1.00
abca1	sptlc1	0.53
abca1	stx12	0.59
abca1	ubb	0.53
abca1	ubc	0.99
abca1	usf1	1.00
abca1	usf2	1.00
abca12	abca13	0.53
abca12	abca2	0.95
abca12	abca4	0.95
abca12	abca7	0.95
abca12	nr1h2	0.53
abca12	nr1h3	0.53
abca12	ubb	0.53
abca12	ubc	0.53
abca13	abca2	0.53
abca13	abca4	0.53
abca13	abca7	0.53
abca13	ubb	0.53
abca13	ubc	0.53
abca2	abca4	0.95
abca2	abca7	0.95
abca2	egr1	1.00
abca2	nr1h2	0.53
abca2	nr1h3	0.53
abca2	sp3	1.00
abca2	sp4	1.00
abca2	ubb	0.53
abca2	ubc	0.53
abca3	canx	0.59
abca3	eif3f	0.53
abca3	rps15a	0.53
abca3	rps3	0.53
abca3	tcp1	0.53
abca3	ubc	0.59
abca4	abca7	0.95
abca4	cngb1	0.59
abca4	ubb	0.53
abca4	ubc	0.53
abca7	apoa1	1.00
abca7	nr1h2	0.53
abca7	nr1h3	0.53
abca7	ubb	0.53
abca7	ubc	0.99
abcb1	abcb4	0.89
abcb1	cebpa	1.00
abcb1	cebpb	1.00
abcb1	egr1	1.00
abcb1	egr2	1.00
abcb1	ets1	1.00
abcb1	hif1a	1.00
abcb1	jun	1.00
abcb1	nfkb1	1.00
abcb1	rara	1.00
abcb1	sp1	1.00
abcb1	tp53	1.00
abcb1	wt1	1.00
abcb10	ubc	0.98
abcb11	nr1h4	1.00
abcb11	ubc	0.59
abcb4	hdac2	1.00
abcb4	jun	1.00
abcb4	junb	1.00
abcb4	jund	1.00
abcb4	myc	1.00
abcb4	nr1h4	1.00
abcb6	ubc	0.59
abcb7	ciapin1	1.00
abcb7	itpka	0.53
abcb7	itpkb	0.53
abcb7	itpkc	0.53
abcb7	ndor1	1.00
abcb7	nubp1	1.00
abcb7	nubp2	1.00
abcb9	b2m	0.53
abcc1	abcg1	0.95
abcc1	abcg4	0.95
abcc1	acadm	0.53
abcc1	agpat3	0.53
abcc1	agpat4	0.53
abcc1	atp2b1	0.53
abcc1	atp2b2	0.53
abcc1	atp2b3	0.53
abcc1	atp2b4	0.53
abcc1	atp9a	0.53
abcc1	atp9b	0.53
abcc1	cct8l2	0.53
abcc1	ehd2	0.53
abcc1	etfa	0.53
abcc1	idh3a	0.53
abcc1	nfs1	0.53
abcc1	pik3c2a	0.53
abcc1	pik3c2b	0.53
abcc1	pik3c2g	0.53
abcc1	psmc2	0.53
abcc1	psmd2	0.53
abcc1	slc25a3	0.53
abcc1	slc27a1	0.53
abcc1	slc27a4	0.53
abcc1	slc30a1	0.53
abcc1	sptlc1	0.53
abcc1	suclg2	0.53
abcc1	uqcrc2	0.53
abcc1	xpo1	0.53
abcc12	ubc	0.59
abcc2	abcg1	0.95
abcc2	abcg4	0.95
abcc2	atp2b1	0.53
abcc2	atp2b2	0.53
abcc2	atp2b3	0.53
abcc2	atp2b4	0.53
abcc2	atp9a	0.53
abcc2	atp9b	0.53
abcc2	cct8l2	0.53
abcc2	ehd2	0.53
abcc2	ep300	1.00
abcc2	nfs1	0.53
abcc2	nr1h4	1.00
abcc2	slc25a3	0.53
abcc2	slc27a1	0.53
abcc2	slc27a4	0.53
abcc2	slc30a1	0.53
abcc2	suclg2	0.53
abcc3	abcg1	0.53
abcc3	abcg4	0.95
abcc3	acadm	0.53
abcc3	agpat3	0.53
abcc3	agpat4	0.53
abcc3	alb	1.00
abcc3	atp2b1	0.53
abcc3	atp2b2	0.53
abcc3	atp2b3	0.53
abcc3	atp2b4	0.53
abcc3	cct8l2	0.53
abcc3	etfa	0.53
abcc3	fabp6	1.00
abcc3	idh3a	0.53
abcc3	nfs1	0.53
abcc3	pik3c2a	0.53
abcc3	pik3c2b	0.53
abcc3	pik3c2g	0.53
abcc3	psmc2	0.53
abcc3	psmd2	0.53
abcc3	slc25a3	0.53
abcc3	slc27a1	0.53
abcc3	slc27a4	0.53
abcc3	slc30a1	0.53
abcc3	sptlc1	0.53
abcc3	suclg2	0.53
abcc3	uqcrc2	0.53
abcc4	ubc	0.59
abcc6	abcg1	0.95
abcc6	abcg4	0.95
abcc6	acadm	0.53
abcc6	atp2b1	0.53
abcc6	atp2b2	0.53
abcc6	atp2b3	0.53
abcc6	atp2b4	0.53
abcc6	atp9a	0.53
abcc6	atp9b	0.53
abcc6	cct8l2	0.53
abcc6	ehd2	0.53
abcc6	nfs1	0.53
abcc6	slc25a3	0.53
abcc6	slc27a1	0.53
abcc6	slc27a4	0.53
abcc6	slc30a1	0.53
abcc6	suclg2	0.53
abcc6	xpo1	0.53
abcc8	ank1	0.53
abcc8	ank2	0.99
abcc8	ank3	0.53
abcc8	cacna1a	1.00
abcc8	cacna1b	1.00
abcc8	cacna1c	1.00
abcc8	cacna1d	1.00
abcc8	cacna1e	1.00
abcc8	cacna1g	1.00
abcc8	kcnj11	1.00
abcc8	kcnj8	1.00
abcc8	prkaca	1.00
abcc8	prkacb	1.00
abcc8	prkacg	1.00
abcc8	rapgef3	1.00
abcc8	rapgef4	1.00
abcc8	snca	0.53
abcc9	ank1	0.53
abcc9	ank2	0.53
abcc9	ank3	0.53
abcc9	kcnj11	1.00
abcc9	kcnj8	1.00
abcd1	abcd2	1.00
abcd1	abcd3	1.00
abcd1	agps	0.59
abcd1	itpr3	0.59
abcd1	ndufa12	0.59
abcd1	pex19	1.00
abcd1	pex3	1.00
abcd1	slc27a2	0.59
abcd1	ubc	0.59
abcd2	abcd3	1.00
abcd2	pex19	1.00
abcd2	pex3	1.00
abcd2	tfap2a	1.00
abcd2	ubc	0.59
abcd3	pex19	1.00
abcd3	pex3	1.00
abcd3	rad51	0.53
abce1	psmd14	0.95
abce1	rnase2	0.59
abce1	rnasel	1.00
abce1	rpl4	0.96
abce1	ubc	0.98
abcf1	eif2s1	1.00
abcf1	eif2s2	1.00
abcf1	eif2s3	1.00
abcf3	dnali1	0.59
abcg1	abcg5	0.53
abcg1	abcg8	0.53
abcg1	atp9a	0.53
abcg1	atp9b	0.53
abcg1	ep300	1.00
abcg1	magt1	0.53
abcg1	slc30a1	0.53
abcg1	tmem184a	0.53
abcg1	tmem184b	0.53
abcg1	tusc3	0.53
abcg1	ubb	0.53
abcg1	ubc	0.53
abcg2	abcg5	0.53
abcg2	abcg8	0.53
abcg2	ubc	0.59
abcg4	abcg5	0.95
abcg4	abcg8	0.95
abcg4	atp9a	0.53
abcg4	atp9b	0.53
abcg4	magt1	0.53
abcg4	slc30a1	0.53
abcg4	tusc3	0.53
abcg4	ubb	0.53
abcg4	ubc	0.53
abcg5	abcg8	1.00
abcg5	pik3r1	0.59
abhd10	ubc	0.59
abhd14b	ctcf	1.00
abhd14b	ubc	0.59
abhd3	ubc	0.59
abhd4	plin2	0.53
abhd4	plin5	0.53
abhd4	sin3a	1.00
abhd4	srebf1	1.00
abhd4	tk1	0.59
abhd4	ubc	0.59
abhd5	plin1	1.00
abhd5	plin2	0.53
abhd5	pnpla2	1.00
abhd5	ubc	0.59
abi1	abl1	1.00
abi1	abl2	1.00
abi1	actb	1.00
abi1	actg1	1.00
abi1	actr2	1.00
abi1	actr3	1.00
abi1	arpc1a	1.00
abi1	arpc1b	1.00
abi1	arpc2	1.00
abi1	arpc3	1.00
abi1	arpc4	1.00
abi1	arpc5	1.00
abi1	baiap2	1.00
abi1	bcr-abl1	0.89
abi1	bcr/abl fusion	0.89
abi1	brk1	1.00
abi1	cd247	1.00
abi1	cd3g	1.00
abi1	cdk6	0.59
abi1	cenpf	0.53
abi1	cyfip1	1.00
abi1	cyfip2	1.00
abi1	diaph1	1.00
abi1	diaph2	0.53
abi1	diaph3	1.00
abi1	egf	1.00
abi1	egfr	1.00
abi1	eps8	1.00
abi1	fcgr1a	1.00
abi1	fcgr2a	1.00
abi1	fcgr3a	1.00
abi1	fer	0.59
abi1	fgr	0.59
abi1	frk	0.59
abi1	fyn	0.59
abi1	hck	0.59
abi1	hnrnpk	0.59
abi1	hspa8	0.59
abi1	ighg1	1.00
abi1	ighg2	1.00
abi1	ighg3	1.00
abi1	ighg4	1.00
abi1	ighv	1.00
abi1	ighv3-23	1.00
abi1	ighv7-81	1.00
abi1	igkc	1.00
abi1	igkv a18	1.00
abi1	igkv1-5	1.00
abi1	igkv1d-16	1.00
abi1	igkv4-1	1.00
abi1	iglc1	1.00
abi1	iglc2	1.00
abi1	iglc3	1.00
abi1	iglc6	1.00
abi1	iglc7	1.00
abi1	iglv	1.00
abi1	inppl1	0.59
abi1	itga4	1.00
abi1	itgb1	1.00
abi1	itk	0.59
abi1	lck	0.59
abi1	lyn	0.59
abi1	mapk1	1.00
abi1	mapk3	1.00
abi1	myh2	1.00
abi1	myo10	1.00
abi1	myo1c	1.00
abi1	ncf1	0.99
abi1	nck1	0.59
abi1	nckap1	1.00
abi1	nckap1l	1.00
abi1	pik3r1	0.59
abi1	pik3r2	0.59
abi1	plcg1	0.59
abi1	rac1	1.00
abi1	rasa1	0.97
abi1	sos1	1.00
abi1	sos2	0.53
abi1	spta1	0.59
abi1	src	0.59
abi1	tln1	0.59
abi1	tns2	0.53
abi1	tpm1	0.53
abi1	tpm3	0.53
abi1	tpm4	0.53
abi1	trip10	0.53
abi1	usp6nl	1.00
abi1	v1-11	1.00
abi1	v1-13	1.00
abi1	v1-16	1.00
abi1	v1-20	1.00
abi1	v1-3	1.00
abi1	v1-5	1.00
abi1	v1-7	1.00
abi1	v1-9	1.00
abi1	v2-11	1.00
abi1	v2-15	1.00
abi1	v2-17	1.00
abi1	v2-19	1.00
abi1	v2-8	1.00
abi1	v3-2	1.00
abi1	v3-3	1.00
abi1	v3-4	1.00
abi1	v4-1	1.00
abi1	v4-2	1.00
abi1	v4-6	1.00
abi1	v5-1	1.00
abi1	v5-4	1.00
abi1	v5-6	1.00
abi1	vav1	0.59
abi1	vav2	0.59
abi1	vcam1	1.00
abi1	was	0.53
abi1	wasf1	0.53
abi1	wasf2	1.00
abi1	wasl	1.00
abi1	yes1	0.59
abi2	abl1	1.00
abi2	abl2	0.98
abi2	actr2	1.00
abi2	actr3	1.00
abi2	arpc1b	1.00
abi2	arpc2	1.00
abi2	arpc3	1.00
abi2	arpc4	1.00
abi2	arpc5	1.00
abi2	bcr-abl1	0.89
abi2	bcr/abl fusion	0.89
abi2	brk1	1.00
abi2	cyfip1	1.00
abi2	cyfip2	1.00
abi2	diaph1	0.53
abi2	eps8	0.95
abi2	hnrnpk	0.59
abi2	krt13	0.59
abi2	krt19	0.59
abi2	nck2	0.96
abi2	nckap1	1.00
abi2	nckap1l	1.00
abi2	prpf40a	0.96
abi2	rac1	1.00
abi2	rac2	1.00
abi2	rac3	1.00
abi2	tns3	0.53
abi2	tpm1	0.53
abi2	tpm3	0.53
abi2	tpm4	0.53
abi2	ubc	0.59
abi2	vcl	0.59
abi2	was	0.53
abi2	wasf1	1.00
abi2	wasf2	0.53
abi2	wasf3	0.53
abi2	wasl	0.53
abi2	wipf1	0.59
abl1	argbpib	0.89
abl1	arhgap17	0.53
abl1	arhgap44	0.53
abl1	atm	1.00
abl1	baiap2	1.00
abl1	bcl3	1.00
abl1	blk	1.00
abl1	bnip2	1.00
abl1	boc	1.00
abl1	brk1	1.00
abl1	cables1	1.00
abl1	cacnb1	0.89
abl1	cap1	1.00
abl1	cap2	1.00
abl1	cbl	1.00
abl1	cblb	1.00
abl1	cblc	1.00
abl1	ccna2	1.00
abl1	cd55	1.00
abl1	cdc42	1.00
abl1	cdh15	1.00
abl1	cdh2	1.00
abl1	cdk2	1.00
abl1	cdk5	1.00
abl1	cdon	1.00
abl1	clasp1	1.00
abl1	clasp2	1.00
abl1	cpne1	0.89
abl1	crk	1.00
abl1	crkl	1.00
abl1	csf1r	0.89
abl1	ctnna1	1.00
abl1	ctnna2	1.00
abl1	ctnnb1	1.00
abl1	ctnnd1	1.00
abl1	cyfip1	1.00
abl1	cyfip2	1.00
abl1	dok2	0.53
abl1	ep300	1.00
abl1	epha1	1.00
abl1	epha10	0.95
abl1	epha2	1.00
abl1	epha3	1.00
abl1	epha4	1.00
abl1	epha5	1.00
abl1	epha6	1.00
abl1	epha7	1.00
abl1	epha8	1.00
abl1	ephb1	1.00
abl1	ephb2	1.00
abl1	ephb2	1.00
abl1	ephb3	1.00
abl1	ephb4	1.00
abl1	ephb6	1.00
abl1	eps8	1.00
abl1	fgr	1.00
abl1	fosl1	1.00
abl1	fyn	1.00
abl1	gata2	1.00
abl1	gpc1	1.00
abl1	grb2	1.00
abl1	hck	1.00
abl1	hdac2	1.00
abl1	irf1	1.00
abl1	jun	1.00
abl1	lck	1.00
abl1	lrp8	1.00
abl1	lyn	1.00
abl1	mafk	1.00
abl1	map2k6	1.00
abl1	mapk11	1.00
abl1	mapk12	1.00
abl1	mapk14	1.00
abl1	mdm2	1.00
abl1	myc	1.00
abl1	nck1	0.95
abl1	nck2	0.95
abl1	nckap1	1.00
abl1	nckap1l	1.00
abl1	nfe2l1	1.00
abl1	nr2c2	1.00
abl1	ntrk1	1.00
abl1	ntrk2	1.00
abl1	ntrk3	1.00
abl1	pdgfb	1.00
abl1	pdgfra	0.89
abl1	pdgfrb	1.00
abl1	plcg1	1.00
abl1	pstpip1	0.95
abl1	pstpip2	0.53
abl1	ptpra	0.95
abl1	ptprc	0.95
abl1	ptprf	0.95
abl1	ptprs	0.95
abl1	rac1	1.00
abl1	rac2	1.00
abl1	rac3	1.00
abl1	rad21	1.00
abl1	rad52	1.00
abl1	rb1	1.00
abl1	reln	1.00
abl1	ret	0.89
abl1	rin1	1.00
abl1	robo1	1.00
abl1	robo2	0.53
abl1	robo3	0.53
abl1	shc1	1.00
abl1	shc2	1.00
abl1	shc3	1.00
abl1	shc4	1.00
abl1	sirt6	1.00
abl1	slit1	1.00
abl1	slit2	1.00
abl1	smarcb1	1.00
abl1	smc3	1.00
abl1	snx18	0.92
abl1	snx33	0.92
abl1	sos1	1.00
abl1	spag9	1.00
abl1	src	1.00
abl1	stat5a	1.00
abl1	stat5b	1.00
abl1	tert	1.00
abl1	tp63	1.00
abl1	tp73	1.00
abl1	trim28	1.00
abl1	wasf2	1.00
abl1	xrcc4	1.00
abl1	yes1	1.00
abl1	zfp36l2	1.00
abl1	znf263	1.00
abl1	znf274	1.00
abl2	ar	0.59
abl2	cap1	1.00
abl2	cap2	1.00
abl2	cav1	0.59
abl2	cd55	1.00
abl2	clasp1	1.00
abl2	clasp2	1.00
abl2	crk	1.00
abl2	crkl	1.00
abl2	cttn	0.59
abl2	dok1	0.53
abl2	dok2	0.53
abl2	egfr	0.59
abl2	epha1	0.53
abl2	epha10	0.53
abl2	epha2	0.53
abl2	epha3	0.53
abl2	epha4	0.53
abl2	epha5	0.53
abl2	epha6	0.53
abl2	epha7	0.53
abl2	epha8	0.53
abl2	ephb1	0.53
abl2	ephb2	0.53
abl2	ephb3	0.53
abl2	ephb4	0.53
abl2	ephb6	0.53
abl2	erbb2	0.59
abl2	erbb3	0.59
abl2	erbb4	0.59
abl2	fyn	0.59
abl2	gpc1	1.00
abl2	hck	0.59
abl2	lrrk2	0.59
abl2	map3k10	0.59
abl2	nck1	0.99
abl2	nck2	0.53
abl2	pik3r1	0.59
abl2	plcg1	0.59
abl2	pstpip1	0.53
abl2	pstpip2	0.53
abl2	ptpra	0.53
abl2	ptprc	0.53
abl2	ptprf	0.53
abl2	rac1	1.00
abl2	rac2	1.00
abl2	rac3	1.00
abl2	rin1	1.00
abl2	robo1	1.00
abl2	robo2	0.53
abl2	robo3	0.53
abl2	sh3bp1	0.53
abl2	sh3bp2	0.53
abl2	slit2	1.00
abl2	src	0.59
abl2	stat3	1.00
ablim1	dcc	1.00
ablim1	dlg1	0.53
ablim1	dlg3	0.53
ablim1	dlg4	0.53
ablim1	dock1	1.00
ablim1	fyn	1.00
ablim1	nck1	1.00
ablim1	ntn1	1.00
ablim1	ptk2	1.00
ablim1	rac1	1.00
ablim1	rac2	1.00
ablim1	rac3	1.00
ablim1	src	1.00
ablim1	stat3	1.00
ablim1	trio	1.00
ablim2	cebpb	1.00
ablim2	dcc	1.00
ablim2	dlg1	0.53
ablim2	dlg3	0.53
ablim2	dlg4	0.53
ablim2	dock1	1.00
ablim2	fyn	1.00
ablim2	nck1	1.00
ablim2	ntn1	1.00
ablim2	ptk2	1.00
ablim2	rac1	1.00
ablim2	rac2	1.00
ablim2	rac3	1.00
ablim2	src	1.00
ablim2	trio	1.00
ablim3	abra	0.59
ablim3	dcc	1.00
ablim3	dlg1	0.53
ablim3	dlg3	0.95
ablim3	dlg4	0.95
ablim3	dock1	1.00
ablim3	fos	1.00
ablim3	fyn	1.00
ablim3	ikzf3	0.59
ablim3	nck1	1.00
ablim3	ntn1	1.00
ablim3	pax5	1.00
ablim3	ptk2	1.00
ablim3	rac1	1.00
ablim3	rac2	1.00
ablim3	rac3	1.00
ablim3	src	1.00
ablim3	ssx2ip	0.59
ablim3	trio	1.00
abr	cdc42	1.00
abr	crk	0.53
abr	crkl	0.53
abr	dok1	0.95
abr	dok2	0.95
abr	grb2	0.53
abr	rac1	1.00
abr	rac2	1.00
abr	rac3	1.00
abr	rhoa	1.00
abr	rhob	1.00
abr	rhobtb1	1.00
abr	rhobtb2	1.00
abr	rhoc	1.00
abr	rhod	1.00
abr	rhof	1.00
abr	rhog	1.00
abr	rhoh	1.00
abr	rhoj	1.00
abr	rhoq	1.00
abr	rhot1	1.00
abr	rhot2	1.00
abr	rhou	1.00
abr	rhov	1.00
abr	sfn	0.53
abr	ubb	0.53
abr	ubc	0.53
abr	ywhab	0.53
abr	ywhag	0.53
abr	ywhah	0.53
abr	ywhaq	0.53
abr	ywhaz	0.53
abra	trappc2	0.59
abt1	atf3	1.00
abt1	cebpb	1.00
abt1	ep300	1.00
abt1	gtf2b	1.00
abt1	spi1	1.00
abt1	tbp	0.53
abtb1	eef1a2	0.59
acaa1	ppara	1.00
acaa1	pparg	1.00
acaa1	rxra	1.00
acaa1	rxrb	1.00
acaa1	rxrg	1.00
acaa2	atl1	0.53
acaa2	atl2	0.53
acaa2	atl3	0.53
acaa2	tert	0.59
acaa2	tktl2	0.53
acaa2	ubc	0.59
acaca	cebpa	1.00
acaca	hlcs	1.00
acaca	prkaa1	1.00
acaca	prkaa2	1.00
acaca	prkab1	1.00
acaca	prkab2	1.00
acaca	prkag1	1.00
acaca	prkag2	1.00
acaca	prkag3	1.00
acaca	sp3	1.00
acaca	srebf1	1.00
acaca	usf1	1.00
acaca	usf2	1.00
acacb	cpt1a	1.00
acacb	cpt1b	1.00
acacb	cpt1c	1.00
acacb	hlcs	1.00
acacb	mlx	1.00
acacb	mlxip	1.00
acacb	mlxipl	1.00
acacb	prkaa1	1.00
acacb	prkaa2	1.00
acacb	prkab1	1.00
acacb	prkab2	1.00
acacb	prkag1	1.00
acacb	prkag2	1.00
acacb	prkag3	1.00
acacb	sp1	1.00
acacb	srebf1	1.00
acacb	ubc	0.59
acad8	ets1	0.59
acad9	ecsit	1.00
acad9	mt-nd1	1.00
acad9	mt-nd2	1.00
acad9	mt-nd3	1.00
acad9	mt-nd4	1.00
acad9	mt-nd5	1.00
acad9	mt-nd6	1.00
acad9	ndufa1	1.00
acad9	ndufa10	1.00
acad9	ndufa11	1.00
acad9	ndufa12	1.00
acad9	ndufa13	1.00
acad9	ndufa2	1.00
acad9	ndufa3	1.00
acad9	ndufa5	1.00
acad9	ndufa6	1.00
acad9	ndufa7	1.00
acad9	ndufa8	1.00
acad9	ndufa9	1.00
acad9	ndufab1	1.00
acad9	ndufaf1	1.00
acad9	ndufaf2	1.00
acad9	ndufaf3	1.00
acad9	ndufaf4	1.00
acad9	ndufaf5	1.00
acad9	ndufaf6	1.00
acad9	ndufaf7	1.00
acad9	ndufb1	1.00
acad9	ndufb10	1.00
acad9	ndufb11	1.00
acad9	ndufb2	1.00
acad9	ndufb3	1.00
acad9	ndufb4	1.00
acad9	ndufb5	1.00
acad9	ndufb6	1.00
acad9	ndufb7	1.00
acad9	ndufb8	1.00
acad9	ndufb9	1.00
acad9	ndufc1	1.00
acad9	ndufc2	1.00
acad9	ndufs1	1.00
acad9	ndufs2	1.00
acad9	ndufs3	1.00
acad9	ndufs4	1.00
acad9	ndufs5	1.00
acad9	ndufs6	1.00
acad9	ndufs7	1.00
acad9	ndufs8	1.00
acad9	ndufv1	1.00
acad9	ndufv2	1.00
acad9	ndufv3	1.00
acad9	timmdc1	1.00
acad9	tmem126b	1.00
acadl	hadha	1.00
acadl	hadhb	1.00
acadl	ppard	1.00
acadl	rxra	1.00
acadl	rxrb	1.00
acadl	rxrg	1.00
acadl	ubc	0.59
acadm	arf1	0.53
acadm	arf3	0.53
acadm	atp5c1	0.96
acadm	cad	0.53
acadm	etfa	1.00
acadm	gale	0.53
